FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,LATNUM,LONGNUM
40001,SEN,1,2,1,1,1,1,1,1,0,0,0.181818182,0,1,1,0,1,1,0,168,438,14.69296,-17.46465
40002,SEN,1,2,1,3,1,1,2,0,1,0,0.636363636,1,1,0,1,0,1,12,15,12,14.69446,-17.46408
40003,SEN,1,2,1,3,1,1,2,1,1,0,0.727272727,1,1,0,1,0,1,19,36,48,14.72249,-17.45141
40004,SEN,1,2,1,3,1,1,2,,,,,,,,,,,,,,14.6926,-17.467
40005,SEN,1,2,1,3,1,1,2,1,1,0,,1,0,0,0,0,0,,3,,14.70279,-17.46198
40006,SEN,1,2,1,3,1,1,2,,,,,,,,,,,,,,0,0
40007,SEN,1,2,1,3,1,1,2,,,,,,,,,,,,,,0,0
40008,SEN,1,2,1,3,1,1,2,,,,,,,,,,,,,,14.766159,-17.4302731
40009,SEN,1,2,1,3,1,1,2,1,1,0,0.727272727,1,1,0,1,0,0,,3,,14.74941,-17.50574
40010,SEN,1,2,1,2,1,1,2,1,1,0,0.545454545,0,1,1,1,1,1,381,983,1050,14.66153,-17.43556
40011,SEN,1,2,1,1,1,1,1,1,1,0,0.727272727,1,0,0,0,1,1,45,376,38,14.68481,-17.45476
40012,SEN,1,2,1,3,1,1,2,1,1,0,0.636363636,1,1,0,1,0,1,32,26,27,14.66782,-17.43438
40013,SEN,1,2,1,3,1,1,2,1,1,0,0.818181818,1,1,0,1,0,1,52,41,37,14.65416,-17.4342
40014,SEN,1,2,1,1,1,1,1,,,,,,,,,,,,,,0,0
40015,SEN,1,2,1,3,1,1,2,1,1,0,0.727272727,1,0,0,1,0,0,,6,,14.66902,-17.43039
40016,SEN,1,2,1,3,1,1,2,0,1,1,0.636363636,1,1,0,1,1,1,14,9,19,14.72739,-17.50282
40017,SEN,1,2,1,1,1,1,1,1,1,0,0.727272727,1,1,0,0,1,1,72,96,0,14.77429,-17.38364
40018,SEN,1,2,1,1,1,1,1,1,1,0,0.636363636,0,1,1,1,1,1,124,165,635,14.75423,-17.3764
40019,SEN,1,2,1,3,1,1,2,,,,,,,,,,,,,,14.75136,-17.40081
40020,SEN,1,2,1,3,1,1,2,,,,,,,,,,,,,,14.75643,-17.39636
40021,SEN,1,2,1,3,1,1,2,1,1,0,0.636363636,1,1,0,1,0,1,24,20,24,14.72463,-17.28334
40022,SEN,1,2,1,1,1,1,1,1,1,1,0.909090909,1,1,1,1,0,1,48,120,46,14.72581,-17.25932
40023,SEN,2,3,1,1,1,1,1,1,1,1,0.909090909,1,1,1,0,1,1,135,258,627,14.64413,-16.23243
40024,SEN,2,3,2,3,2,2,2,1,1,0,0.545454545,0,0,0,0,1,1,6,17,96,14.8611,-15.88281
40025,SEN,3,3,1,3,1,1,2,0,1,0,0.454545455,1,1,0,1,0,1,40,12,34,14.34517,-16.4256
40026,SEN,4,3,1,1,1,1,1,1,0,0,0.363636364,0,1,1,0,1,1,53,47,2021,14.09924,-15.56671
