FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients
10003,BAN,1,,6,1,2,2,1,1,1,0,.454545454545455,0,0,,,1,0,,1,
10004,BAN,1,,8,1,2,2,1,0,1,0,,0,0,,,1,0,,3,
10005,BAN,1,,8,1,2,2,1,1,1,1,.727272727272727,0,0,,,0,0,,3,
10008,BAN,1,,4,1,2,2,1,1,0,0,,0,0,,,1,0,,1,
10009,BAN,1,,4,1,2,2,1,1,1,1,,1,1,,,1,0,,1,
10010,BAN,1,,8,1,2,2,1,,1,1,,0,0,,,0,0,,3,
10011,BAN,1,,6,1,2,2,1,1,0,0,,0,0,,,1,0,,1,
10013,BAN,1,,8,1,2,2,1,,0,1,,0,0,,,0,0,,2,
10016,BAN,1,,9,3,2,2,2,1,0,1,,0,0,,,0,0,,2,
10017,BAN,1,,8,1,2,2,1,1,1,0,.454545454545455,0,1,,,0,0,,3,
10019,BAN,1,,5,1,2,2,1,1,1,0,.636363636363636,0,1,,,0,0,,3,
10020,BAN,1,,6,1,2,2,1,1,0,0,,0,1,,,0,0,,1,
10021,BAN,1,,8,1,2,2,1,1,1,0,.545454545454545,0,1,,,0,0,,3,
10022,BAN,1,,3,1,1,2,1,1,1,0,,0,1,,,0,0,,0,
10025,BAN,1,,6,1,1,2,1,1,1,0,,0,1,,,0,0,,2,
10026,BAN,1,,4,1,2,2,1,1,1,1,.818181818181818,1,0,,,1,0,,4,
10027,BAN,1,,5,1,2,2,1,1,1,0,.636363636363636,0,1,,,1,0,,2,
10028,BAN,1,,6,1,2,2,1,0,1,0,,0,1,,,0,0,,1,
10029,BAN,1,,6,1,2,2,1,1,1,0,,0,1,,,0,0,,2,
10030,BAN,1,,8,1,2,2,1,1,1,0,,0,1,,,0,0,,4,
10031,BAN,1,,8,1,2,2,1,1,1,0,,0,0,,,0,0,,2,
10033,BAN,1,,3,1,1,2,1,1,0,0,,0,1,,,0,0,,0,
10034,BAN,1,,5,1,2,2,1,1,0,0,.181818181818182,0,1,,,0,0,,3,
10035,BAN,1,,8,1,2,2,1,1,0,0,,0,1,,,0,0,,3,
10108,BAN,1,,8,1,2,2,1,1,1,0,,0,0,,,1,0,,2,
10109,BAN,1,,8,1,2,2,1,1,0,0,,0,0,,,1,0,,3,
10110,BAN,1,,9,3,1,2,2,1,1,0,.454545454545455,0,0,,,0,0,,2,
10113,BAN,1,,4,1,2,2,1,1,0,0,.454545454545455,0,1,,,0,0,,1,
10114,BAN,1,,4,1,2,2,1,0,1,0,.272727272727273,0,1,,,0,0,,1,
10115,BAN,1,,4,1,2,2,1,1,1,0,.545454545454545,1,0,,,0,0,,1,
10116,BAN,1,,4,1,2,2,1,1,0,1,.545454545454545,0,0,,,0,0,,1,
10117,BAN,1,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,1,
10118,BAN,1,,6,1,2,2,1,,,,,,,,,,,,,
10120,BAN,1,,3,1,1,2,1,1,1,1,.818181818181818,1,0,,,1,0,,3,
10121,BAN,1,,4,1,2,2,1,1,1,0,.454545454545455,0,1,,,0,0,,2,
10122,BAN,1,,4,1,2,2,1,1,1,0,.545454545454545,1,0,,,0,0,,2,
10123,BAN,1,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,2,
10124,BAN,1,,6,1,2,2,1,1,0,1,.545454545454545,0,0,,,0,0,,2,
10125,BAN,1,,6,1,2,2,1,1,1,0,.636363636363636,1,1,,,0,0,,2,
10126,BAN,1,,6,1,2,2,1,1,1,0,.545454545454545,1,1,,,0,0,,2,
10127,BAN,1,,6,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,1,
10128,BAN,1,,8,1,2,2,1,1,0,0,.454545454545455,0,0,,,0,0,,1,
10129,BAN,1,,8,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,1,
10131,BAN,1,,4,1,2,2,1,0,0,0,,0,0,,,0,0,,1,
10132,BAN,1,,4,1,2,2,1,,,,,,,,,,,,,
10133,BAN,1,,6,1,2,2,1,,,,,,,,,,,,,
10135,BAN,1,,4,1,2,2,1,,,,,,,,,,,,,
10136,BAN,1,,4,1,2,2,1,0,1,0,.545454545454545,1,0,,,1,0,,1,
10137,BAN,1,,4,1,2,2,1,1,1,0,.545454545454545,0,0,,,1,0,,1,
10138,BAN,1,,8,1,2,2,1,1,0,0,,0,0,,,1,0,,2,
10139,BAN,1,,9,3,1,2,2,,,,,,,,,,,,,
10144,BAN,1,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,0,0,,3,
10145,BAN,1,,4,1,2,2,1,1,1,0,,1,0,,,1,0,,2,
10146,BAN,1,,4,1,2,2,1,1,1,0,,0,1,,,1,0,,3,
10147,BAN,1,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,1,0,,3,
10148,BAN,1,,4,1,2,2,1,0,1,0,,0,0,,,1,0,,2,
10149,BAN,1,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,1,0,,2,
10150,BAN,1,,4,1,2,2,1,1,1,0,,0,0,,,1,0,,2,
10151,BAN,1,,6,1,2,2,1,1,1,0,,0,0,,,0,0,,2,
10152,BAN,1,,6,1,2,2,1,1,0,0,,0,1,,,0,0,,3,
10153,BAN,1,,6,1,2,2,1,1,1,0,,0,0,,,1,0,,2,
10154,BAN,1,,6,1,2,2,1,0,0,0,.272727272727273,0,0,,,1,0,,3,
10155,BAN,1,,8,1,2,2,1,1,1,0,,0,0,,,1,0,,1,
10156,BAN,1,,9,3,2,2,2,1,0,0,.272727272727273,0,0,,,1,0,,2,
10158,BAN,1,,4,1,2,2,1,,,,,,,,,,,,,
10159,BAN,1,,4,1,2,2,1,0,1,0,.272727272727273,0,1,,,1,0,,3,
10160,BAN,1,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,1,0,,2,
10161,BAN,1,,4,1,2,2,1,0,1,0,.272727272727273,0,0,,,1,0,,2,
10162,BAN,1,,4,1,2,2,1,1,1,0,.363636363636364,0,1,,,1,0,,2,
10163,BAN,1,,6,1,2,2,1,0,1,0,.272727272727273,0,0,,,1,0,,5,
10165,BAN,1,,4,1,2,2,1,1,1,0,.818181818181818,1,1,,,0,0,,3,
10166,BAN,1,,4,1,2,2,1,1,1,0,,0,1,,,1,0,,3,
10167,BAN,1,,4,1,2,2,1,1,1,0,.636363636363636,0,0,,,0,0,,4,
10168,BAN,1,,4,1,2,2,1,1,1,0,.727272727272727,0,0,,,0,0,,2,
10169,BAN,1,,4,1,2,2,1,1,1,0,,0,0,,,1,0,,2,
10170,BAN,1,,4,1,2,2,1,1,1,0,.818181818181818,1,0,,,0,0,,4,
10171,BAN,1,,4,1,2,2,1,1,1,0,,0,0,,,0,0,,3,
10172,BAN,1,,4,1,2,2,1,1,1,0,,0,0,,,0,0,,3,
10173,BAN,1,,4,1,2,2,1,1,1,1,.909090909090909,1,0,,,1,0,,2,
10174,BAN,1,,4,1,2,2,1,1,1,0,,0,1,,,0,0,,3,
10175,BAN,1,,8,1,2,2,1,0,0,0,,0,0,,,0,0,,3,
10177,BAN,1,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,2,
10178,BAN,1,,4,1,2,2,1,1,1,0,.636363636363636,1,0,,,1,0,,2,
10039,BAN,1,,6,1,2,2,1,1,1,0,,0,0,,,0,0,,1,
10040,BAN,1,,8,1,2,2,1,1,1,0,,0,1,,,0,0,,4,
10042,BAN,1,,4,1,2,2,1,,,,,,,,,,,,,
10044,BAN,1,,8,1,2,2,1,1,0,0,.181818181818182,0,1,,,1,0,,1,
10049,BAN,1,,8,1,2,2,1,1,1,0,,0,0,,,1,0,,4,
10050,BAN,1,,9,2,1,2,1,1,1,0,.636363636363636,1,0,,,1,0,,12,
10051,BAN,1,,9,2,1,2,1,1,1,0,.636363636363636,1,0,,,1,0,,12,
10052,BAN,1,,9,3,1,2,2,1,1,0,.727272727272727,1,0,,,0,0,,4,
10053,BAN,1,,9,2,1,2,1,1,1,1,.909090909090909,1,0,,,1,0,,12,
10054,BAN,1,,9,3,1,2,2,1,1,0,.727272727272727,1,0,,,1,0,,3,
10055,BAN,1,,9,3,1,2,2,1,1,0,.727272727272727,1,0,,,0,0,,5,
10058,BAN,1,,10,4,1,2,2,,,,,,,,,,,,,
10061,BAN,1,,10,4,1,2,2,,,,,,,,,,,,,
10065,BAN,1,,5,1,2,2,1,,,,,,,,,,,,,
10066,BAN,1,,6,1,1,2,1,1,0,0,.0909090909090909,0,1,,,0,0,,0,
10067,BAN,1,,6,1,2,2,1,0,1,0,.181818181818182,0,1,,,0,0,,1,
10068,BAN,1,,8,1,2,2,1,0,0,0,.181818181818182,0,1,,,1,0,,1,
10069,BAN,1,,4,1,2,2,1,0,0,0,0,0,0,,,0,0,,7,
10070,BAN,1,,5,1,2,2,1,0,0,0,.181818181818182,0,1,,,0,0,,4,
10071,BAN,1,,5,1,2,2,1,1,1,0,.363636363636364,0,1,,,0,0,,4,
10072,BAN,1,,6,1,2,2,1,1,0,0,,0,0,,,0,0,,6,
10073,BAN,1,,8,1,2,2,1,0,0,0,,0,1,,,0,0,,3,
10075,BAN,1,,6,1,2,2,1,1,1,0,,0,1,,,0,0,,1,
10076,BAN,1,,8,1,2,2,1,1,1,0,,0,1,,,0,0,,3,
10077,BAN,1,,8,1,2,2,1,0,1,0,,0,1,,,0,0,,3,
10080,BAN,1,,4,1,2,2,1,1,1,0,,1,0,,,0,0,,2,
10081,BAN,1,,4,1,2,2,1,1,1,0,.636363636363636,1,0,,,1,0,,0,
10082,BAN,1,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,1,0,,2,
10085,BAN,1,,4,1,2,2,1,1,0,1,.545454545454545,0,0,,,1,0,,1,
10086,BAN,1,,4,1,2,2,1,,0,0,,0,0,,,1,0,,1,
10087,BAN,1,,4,1,2,2,1,1,0,0,.363636363636364,0,0,,,1,0,,2,
10089,BAN,1,,8,1,2,2,1,1,0,0,,0,0,,,1,0,,3,
10091,BAN,1,,10,4,1,2,2,,,,,,,,,,,,,
10093,BAN,1,,4,1,2,2,1,1,1,0,.545454545454545,0,0,,,0,0,,2,
10094,BAN,1,,4,1,2,2,1,1,1,0,,1,0,,,0,0,,1,
10095,BAN,1,,4,1,2,2,1,,,,,,,,,,,,,
10096,BAN,1,,4,1,2,2,1,1,1,1,.636363636363636,1,0,,,0,0,,2,
10097,BAN,1,,4,1,2,2,1,1,0,0,.454545454545455,0,0,,,0,0,,1,
10099,BAN,1,,8,1,2,2,1,1,1,0,.363636363636364,0,0,,,1,0,,3,
10100,BAN,1,,9,3,1,2,2,1,1,0,.545454545454545,1,0,,,1,0,,2,
10102,BAN,1,,4,1,2,2,1,1,1,1,.545454545454545,0,0,,,1,0,,1,
10103,BAN,1,,4,1,2,2,1,0,1,0,.545454545454545,0,0,,,1,0,,1,
10104,BAN,1,,4,1,2,2,1,1,1,0,.545454545454545,0,0,,,1,0,,1,
10105,BAN,1,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,1,0,,2,
10106,BAN,1,,4,1,2,2,1,,,,,,,,,,,,,
10107,BAN,1,,8,1,2,2,1,1,1,0,,0,0,,,1,0,,2,
10179,BAN,1,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,1,0,,3,
10180,BAN,1,,4,1,2,2,1,1,1,0,.636363636363636,0,0,,,1,0,,4,
10181,BAN,1,,4,1,2,2,1,1,1,0,.545454545454545,0,1,,,0,0,,3,
10182,BAN,1,,8,1,2,2,1,0,1,0,,0,0,,,0,0,,3,
10184,BAN,1,,4,1,2,2,1,1,0,0,.454545454545455,0,1,,,1,0,,3,
10185,BAN,1,,4,1,2,2,1,1,1,0,.363636363636364,0,0,,,1,0,,2,
10186,BAN,1,,6,1,2,2,1,1,1,0,.454545454545455,1,1,,,1,0,,2,
10187,BAN,1,,8,1,2,2,1,1,1,0,.454545454545455,1,0,,,1,0,,3,
10188,BAN,1,,8,1,2,2,1,1,1,0,.454545454545455,0,0,,,1,0,,3,
10190,BAN,1,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,2,
10191,BAN,1,,8,1,2,2,1,1,0,0,,0,0,,,0,0,,3,
10194,BAN,1,,4,1,2,2,1,,0,0,,0,0,,,0,0,,1,
10195,BAN,1,,6,1,2,2,1,1,1,0,.363636363636364,0,1,,,0,0,,3,
