facil,country,region,zone,region_code,region_name,latnum,longnum,factype,mga,ftype,factype2,ownership,water_source,soapwater,st_precautions,tbservice,hivcare,meetings,quality,inpatient,numberbeds,total_full,outpatients,cumulative_cases,cumulative_deaths
11116,BAN,6,,6,Rangpur,25.358698,89.071922,6,1,2,2,1,t,t,t,f,,,f,f,,2,,377073,5500
11117,BAN,6,,6,Rangpur,25.412535,89.052128,8,1,2,2,1,f,t,f,f,,,f,f,,3,,377073,5500
11599,BAN,8,,8,Mymensingh,25.015608,90.014368,12,3,1,2,2,t,t,t,f,,,t,t,1,12,198,377073,5500
11598,BAN,8,,8,Mymensingh,24.71694,90.953117,12,3,2,2,2,t,t,t,f,,,f,f,,6,,377073,5500
11597,BAN,8,,8,Mymensingh,24.739533,90.527265,12,3,2,2,2,t,t,t,t,,,f,f,,9,,377073,5500
11596,BAN,8,,8,Mymensingh,24.894568,89.708767,12,3,2,2,2,t,t,f,f,,,t,f,0,14,,377073,5500
11595,BAN,8,,8,Mymensingh,25.194067,89.868093,12,3,1,2,2,t,t,f,f,,,f,f,1,8,,377073,5500
11594,BAN,7,,7,Sylhet,24.818377,91.750745,12,3,2,2,2,t,t,f,f,,,t,f,,6,,377073,5500
11593,BAN,7,,7,Sylhet,24.896652,91.900082,12,3,1,2,2,t,t,t,f,,,t,f,,8,,377073,5500
11592,BAN,7,,7,Sylhet,25.073562,92.112103,12,3,2,2,2,t,t,t,f,,,f,f,,8,,377073,5500
11591,BAN,7,,7,Sylhet,24.725532,91.756097,12,3,2,2,2,t,t,t,f,,,t,f,,7,,377073,5500
11590,BAN,7,,7,Sylhet,0,0,12,3,2,2,2,t,t,t,f,,,t,f,,9,,377073,5500
11589,BAN,7,,7,Sylhet,24.389328,91.753662,12,3,2,2,2,t,t,t,f,,,t,f,,9,,377073,5500
11588,BAN,7,,7,Sylhet,24.64801,91.590883,12,3,2,2,2,t,t,f,t,,,f,f,,11,,377073,5500
11587,BAN,6,,6,Rangpur,25.335587,89.274513,12,3,2,2,2,t,t,t,f,,,t,f,0,13,,377073,5500
11586,BAN,6,,6,Rangpur,25.745,89.247753,12,3,1,2,2,t,t,t,f,,,t,t,0,25,47,377073,5500
11585,BAN,6,,6,Rangpur,25.779518,88.905022,12,3,1,2,2,t,t,f,f,,,t,t,0,26,99,377073,5500
11584,BAN,6,,6,Rangpur,25.812365,89.640638,12,3,2,2,2,t,t,t,f,,,t,t,0,16,34,377073,5500
11583,BAN,6,,6,Rangpur,25.192155,89.58986,12,3,2,2,2,t,t,t,f,,,t,f,,11,,377073,5500
11582,BAN,6,,6,Rangpur,25.276485,89.014678,12,3,1,2,2,t,t,t,f,,,f,f,,6,,377073,5500
11581,BAN,5,,5,Rajshahi,24.292005,89.525668,12,3,2,2,2,t,t,t,t,,,t,f,,5,,377073,5500
11580,BAN,5,,5,Rajshahi,24.370358,88.56436,12,3,1,2,2,t,t,t,t,,,t,f,,7,,377073,5500
11579,BAN,5,,5,Rajshahi,24.407885,88.607128,12,3,1,2,2,t,t,t,t,,,t,t,0,22,256,377073,5500
11578,BAN,5,,5,Rajshahi,24.614483,88.295553,12,3,1,2,2,t,t,t,f,,,t,f,,10,,377073,5500
11577,BAN,5,,5,Rajshahi,24.312175,89.178197,12,3,2,2,2,t,t,t,f,,,t,f,,13,,377073,5500
11576,BAN,5,,5,Rajshahi,25.043953,89.498302,12,3,2,2,2,t,t,t,f,,,f,f,,48,,377073,5500
11575,BAN,4,,4,Khulna,23.173702,89.503522,12,3,1,2,2,t,t,t,f,,,t,f,2,8,,377073,5500
11574,BAN,4,,4,Khulna,23.855803,89.241138,12,3,2,2,2,t,t,f,f,,,t,f,,7,,377073,5500
11573,BAN,4,,4,Khulna,22.816735,89.55616,12,3,1,2,2,t,t,t,t,,,f,f,,7,,377073,5500
11572,BAN,4,,4,Khulna,22.856073,89.541088,12,3,1,2,2,t,t,t,t,,,t,f,,7,,377073,5500
11571,BAN,4,,4,Khulna,22.780698,89.535917,12,3,2,2,2,t,t,f,f,,,f,f,,26,,377073,5500
11570,BAN,4,,4,Khulna,23.170292,89.221012,12,3,1,2,2,t,t,t,f,,,t,f,,18,,377073,5500
11569,BAN,4,,4,Khulna,0,0,12,3,2,2,2,t,t,f,f,,,f,f,,46,,377073,5500
11568,BAN,3,,3,Dhaka,23.217565,90.3478,12,3,1,2,2,t,t,f,t,,,f,f,,10,,377073,5500
11567,BAN,3,,3,Dhaka,23.62741,90.49989,12,3,1,2,2,t,t,t,f,,,t,f,,10,,377073,5500
11566,BAN,3,,3,Dhaka,23.778257,89.851173,12,3,2,2,2,t,t,f,f,,,t,t,0,10,15,377073,5500
11565,BAN,3,,3,Dhaka,24.276438,91.110788,12,3,2,2,2,t,t,t,f,,,t,f,,9,,377073,5500
11564,BAN,3,,3,Dhaka,23.723418,90.43318,12,3,1,2,2,t,t,t,t,,,t,f,,11,,377073,5500
11563,BAN,3,,3,Dhaka,23.655197,90.137617,12,3,2,2,2,t,t,t,f,,,t,f,,7,,377073,5500
11562,BAN,3,,3,Dhaka,23.826607,90.393845,12,3,1,2,2,f,t,t,t,,,t,f,,10,,377073,5500
11561,BAN,2,,2,Chittagong,22.873848,92.394537,12,3,2,2,2,f,t,t,f,,,t,t,3,8,0,377073,5500
11560,BAN,2,,2,Chittagong,22.846833,91.100785,12,3,1,2,2,t,t,t,f,,,t,f,,6,,377073,5500
11559,BAN,2,,2,Chittagong,22.93977,90.833267,12,3,1,2,2,t,t,t,t,,,t,f,,5,,377073,5500
11558,BAN,2,,2,Chittagong,22.858447,91.419932,12,3,2,2,2,t,t,f,t,,,f,f,,5,,377073,5500
11557,BAN,2,,2,Chittagong,21.52119,91.964625,12,3,1,2,2,t,t,t,f,,,t,f,1,6,,377073,5500
11556,BAN,2,,2,Chittagong,23.263793,91.089482,12,3,2,2,2,t,t,t,t,,,t,f,,8,,377073,5500
11555,BAN,2,,2,Chittagong,22.419663,91.819865,12,3,1,2,2,t,t,f,t,,,t,f,,11,,377073,5500
11554,BAN,2,,2,Chittagong,22.290237,91.983425,12,3,1,2,2,t,t,f,t,,,t,t,0,13,87,377073,5500
11553,BAN,2,,2,Chittagong,22.894038,91.673238,12,3,2,2,2,t,t,t,f,,,t,f,,7,,377073,5500
11552,BAN,2,,2,Chittagong,22.038708,91.941978,12,3,2,2,2,t,t,t,f,,,t,t,0,14,66,377073,5500
11551,BAN,2,,2,Chittagong,24.095657,91.113505,12,3,2,2,2,t,t,t,f,,,f,f,,5,,377073,5500
11550,BAN,2,,2,Chittagong,21.426487,92.176862,12,3,2,2,2,f,t,t,f,,,f,f,1,6,,377073,5500
11549,BAN,1,,1,Barisal,22.708382,89.970047,12,3,1,2,2,f,t,t,f,,,f,f,,6,,377073,5500
11548,BAN,1,,1,Barisal,22.64199,90.196292,12,3,1,2,2,t,t,t,f,,,t,f,,5,,377073,5500
