FACIL,REC$TYPE,REGION,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,normdelivery,TBservice,NCDService,diagnostic,bloodtyping,transfusion,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
10001,A,Barisal,Upzila Health Complex (UHC),Government/Public (MOHFW),Urban,No,132877,Hospital,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes, , ,Yes,No,No,No,Yes, ,Yes,Yes, ,0,14,1,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, , ,Yes,44,31,0,374,374
10002,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,415845,Health Center/post,Public, ,No,No,No,Yes,Yes,Yes,No,No, ,No,No,No,Yes,No,No,No,Yes,Yes,No, , , , ,No,No,No,Yes,No,No, ,0,0,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes, , ,No,0,1,0, , 
10003,A,Barisal,Union Subcenter (UnSC) / Rural Dispensary,Government/Public (MOHFW),Rural,No,249430,Health Center/post,Public,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.454545454545455,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No, ,1,0, , 
10004,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,No,Yes,No,No,Yes,Yes,Yes,No,No, ,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes, , ,No, ,3,0, , 
10005,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,No,No,.727272727272727,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No, ,3,0, , 
10006,A,Barisal,District Hospital (DH),Government/Public (MOHFW),Urban,No,76929,Hospital,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes, ,.818181818181818,2,51,1,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,80,70,0,1217,1217
10007,A,Barisal,Mother and Child Welfare Center (MCWC),Government/Public (MOHFW),Urban,No,76929,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,No,No,Yes,No,Yes, ,Yes, ,.818181818181818,0,2,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No, ,Yes,0,6,0,23,23
10008,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,415845,Health Center/post,Public,Yes,No,Yes,No,Yes,Yes,Yes,No,No, ,No,No,No,Yes,No,Yes,No,No,Yes,No, , , , ,No,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes, , ,No, ,1,0, , 
10009,A,Barisal,Union Health and Family Welfare Center (UnHFWC),Government/Public (MOHFW),Rural,No,415845,Health Center/post,Public,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No, ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,Yes,No,No,No,No,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes, , ,No, ,1,0, , 
10010,A,Barisal,Community Clinic,Government/Public (MOHFW),Rural,No,1990769,Health Center/post,Public, ,Yes,Yes,No,Yes,Yes,Yes,No,No, ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No, ,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No, , ,No, ,3,0, , 
