FACIL,REC$TYPE,PROVINCE,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
1,A,52,5,Government/public,Rural,No,758019,Health Center,Public,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No, ,No,No,No,No,No,No,Yes,No,No,.0909090909090909,1,0,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,1,5,0, , 
2,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes, ,No,No,No,No,No,No,Yes,No,No,.181818181818182,2,0,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,2,9,0, , 
3,A,52,5,4,Rural,No,758019,Health Center,Private/NGO,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No, ,No,No,No,No,No,No,Yes,No,No,.272727272727273,6,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,6,8,0, , 
4,A,52,Health centre,Government/public,Rural,No,116618,Hospital,Public,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.454545454545455,30,1,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No, ,Yes,No, ,Yes,58,47,1,132,132
5,A,52,Health post,4,Rural,No,116618,Hospital,Private/NGO,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,Yes,No,No,No,No, ,Yes,No,.454545454545455,3,1,0,0,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,11,7,1,18,18
6,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,Yes,Yes,No,No, ,No,No,No,No,No,No,No,No,Yes,Yes,No, ,No,No,No,No,No,No,Yes,No,No, ,1,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No, ,No,9,5,0, , 
7,A,52,Health hut,Government/public,Rural,No,174927,Health Center,Public,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.181818181818182,6,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,20,25,0,324,324
8,A,52,Health hut,Government/public,Rural,No,174927,Health Center,Public,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes, ,No,No,No,No,No,No, ,No,No,.454545454545455,1,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No, ,Yes,27,12,0,27,27
9,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,No,Yes, ,No, ,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No, , , , ,No,No,No,No,No,No, ,1,0,0,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No, ,No, ,4,0, , 
10,A,52,5,Government/public,Rural,No,758019,Health Center,Public,No,No,No,No,Yes,No,Yes,No, ,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes, , ,No,No,No,No,No, ,No,No, ,1,0,0,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No, ,Yes,6,4,0,6,6
