FACIL,REC$TYPE,DEPART,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
1,A,Ouest,7,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,Yes,No,Yes,No,Yes, , , ,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,No,Yes,No, ,2,2,0,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes, , ,No, ,5,2, , 
2,A,Ouest,Health post,Government/public,Urban,No,996044,Hospital,Public,No,Yes,Yes,No,Yes,No,No,No,No, ,No,No,No,No,No,No,No,No,No,No, , ,No,No,No,No,No, ,No,No, ,2,15,0,1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No, ,No, , ,Yes,25,18,2,10,10
3,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No, , ,Yes,.545454545454545,27,83,2,25,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,Yes,201,141,11,215,215
4,A,Ouest,5,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,No,Yes,No,No,No, , , ,No,No,No,No,No,No,No,No,No,No, ,No,Yes,Yes,No,No,No,Yes,Yes,No, ,4,3,0,4,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No, , ,No,7,13,4, , 
5,A,Ouest,6,NGO/ Private not for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,No,Yes,No,Yes,No,No, , , ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,Yes,No, ,1,4,0,2,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No, ,Yes, , ,No, ,10,0, , 
6,A,Ouest,6,4,Urban,No,996044,Health Center/post,Private/NGO, ,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,No,No,No,No,Yes,Yes,No, ,1,3,0,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No, ,No,2,8,1, , 
8,A,Ouest,5,NGO/ Private not for profit,Urban,Yes,996044,Health Center/post,Private/NGO, ,Yes,Yes,No,Yes,No, ,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes, , , , ,Yes,Yes,Yes, ,Yes,No, ,2,3,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No, ,Yes,No, ,Yes,5,5,0,7,7
9,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes, ,No,Yes,No,No,No,No,No,No,No,.0909090909090909,3,1,0,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No, ,No,No, ,No, ,6,2, , 
12,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO, ,Yes,Yes,No,No,No,No, , , ,Yes,No,No,Yes,No,No,No,No,Yes,Yes, ,No,Yes,No,No,No,No,No,No,No, ,3,1,0,1,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,No, , ,No, ,5,1, , 
13,A,Ouest,6,Private for profit,Urban,No,996044,Health Center/post,Private/NGO,No,No,No,No,Yes,No, ,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, , , , ,No,No,No,No,Yes,No,.454545454545455,1,1,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No, ,No,No, ,No, ,2,0, , 
