FACIL,REC$TYPE,REGION,FACTYPE,MGA,FTYPE,IPD_OPD,FACWT,Factype2,ownership,water_source,electricity,client_latrine,waste_disposal,waste_storage,sharps_disposal,sharps_storage,sterilization,equip_hld,guidelines_HLD,disinfectant,soapwater,st_precautions,latexgloves,medicalmasks,gowns,eye_protect,thermometer,stethoscope,BPmonitor,xray,fullblood,bloodsugar,liver_renal,adultO2mask,pulseoximeter,cylinders,overnight,communication,ambulance,preparedness,doctors,nurses,pharmacists,laboratorians,vaccination,growthmonitor,curativecare,familyplan,antenatal,normdelivery,PMTCT,malaria,STI,TBservice,HIVCT,ARTService,HIVcare,NCDService,surgery,cesarean,diagnostic,bloodtyping,transfusion,meetings,freqmeet,commmeet,freqcomm,quality,guidesterile,guideobserve,inpatient,numberbeds,total_full,total_part,discharges,outpatients
60001,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,4,7,0,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,11,18,7,34,34
60002,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.454545454545455,3,3,0,0,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No, ,No, ,Yes,No, ,Yes,15,11,3,9998,9998
60003,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,No,Yes,No,No, ,Yes,No,.636363636363636,0,2,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,Yes,11,5,5,9998,9998
60004,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,No,No,No,No,No,Yes,No,.636363636363636,1,0,0,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No, ,No, ,No,No, ,No, ,2,1, , 
60005,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes, ,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.636363636363636,0,20,0,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No, ,No,No, ,Yes,52,46,27,54,54
60006,A,Dakar,Hospital,Government/public,Urban,No,260144,Hospital,Public,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, ,Yes,Yes,.727272727272727,42,34,7,11,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,No, ,Yes,Yes,Yes,Yes,95,170,0,87,87
60007,A,Dakar,Hospital,Government/public,Urban,No,0,Hospital,Public, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60008,A,Dakar,Hospital,Private for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, ,Yes,No,No,No,Yes, ,Yes,Yes,.636363636363636,7,9,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No, ,No, ,No,No, ,Yes,32,26,0,9998,9998
60009,A,Dakar,Hospital,Government/public,Urban,No,260144,Hospital,Public,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No, ,Yes,Yes,.363636363636364,17,50,3,13,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,Yes,Yes,Yes,114,141,0,103,103
60010,A,Dakar,Hospital,NGO/ Private not for profit,Urban,No,614229,Hospital,Private/NGO,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, ,Yes,Yes,.545454545454545,81,211,14,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No, ,No, ,Yes,Yes,Yes,Yes,730,717,19,0,0
